transaction_id,timestamp,room,severity,anomaly_score,violated_count,applicable_count,top_violated_rule
41601,2018-07-29 00:26:10,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41606,2018-07-29 00:26:10,A22,HIGH,1.0000,3,3,"[TEMP_COLD & TEMP_STABLE] -> [HEATER_OFF] (conf=0.983, sup=0.223)"
41609,2018-07-29 00:26:20,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41610,2018-07-29 00:26:20,A11,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41619,2018-07-29 00:26:20,A22,HIGH,1.0000,3,3,"[TEMP_COLD & TEMP_STABLE] -> [HEATER_OFF] (conf=0.983, sup=0.223)"
41620,2018-07-29 00:26:20,A22,HIGH,1.0000,3,3,"[TEMP_COLD & TEMP_STABLE] -> [HEATER_OFF] (conf=0.983, sup=0.223)"
41630,2018-07-29 00:26:30,A22,HIGH,1.0000,3,3,"[TEMP_COLD & TEMP_STABLE] -> [HEATER_OFF] (conf=0.983, sup=0.223)"
41638,2018-07-29 00:26:40,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41651,2018-07-29 00:26:50,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41652,2018-07-29 00:26:50,A22,HIGH,1.0000,3,3,"[TEMP_COLD & TEMP_STABLE] -> [HEATER_OFF] (conf=0.983, sup=0.223)"
41662,2018-07-29 00:27:00,A22,HIGH,1.0000,3,3,"[TEMP_COLD & TEMP_STABLE] -> [HEATER_OFF] (conf=0.983, sup=0.223)"
41670,2018-07-29 00:27:10,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41683,2018-07-29 00:27:20,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41684,2018-07-29 00:27:20,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41694,2018-07-29 00:27:30,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41702,2018-07-29 00:27:40,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41715,2018-07-29 00:27:50,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
41716,2018-07-29 00:27:50,A22,HIGH,1.0000,1,1,"[TEMP_COLD] -> [HEATER_OFF & TEMP_STABLE] (conf=0.928, sup=0.223)"
